scenario;r;rr;value_min;Region_1_Coord;Region_2_Coord
4_AVG_DYN;R_AL;R_ME;-1E-08;Point (20.06838460591877649 41.14228482341689386);Point (19.25030495955028798 42.79159324834609635)
4_AVG_DYN;R_AL;R_MK;0;Point (20.06838460591877649 41.14228482341689386);Point (21.69747626732899093 41.5996823122770536)
4_AVG_DYN;R_AL;R_RS;-0.0094805;Point (20.06838460591877649 41.14228482341689386);Point (20.80527172323537499 44.03149841861639402)
4_AVG_DYN;R_AT;R_CH;0;Point (14.14019348879524962 47.59290260691519592);Point (8.234429172288662 46.80256937605332013)
4_AVG_DYN;R_AT;R_CZ;-0.0596;Point (14.14019348879524962 47.59290260691519592);Point (15.3384120900681058 49.74285888947336787)
4_AVG_DYN;R_AT;R_DE;0;Point (14.14019348879524962 47.59290260691519592);Point (10.39366155475279996 51.10659218573432838)
4_AVG_DYN;R_AT;R_HU;0;Point (14.14019348879524962 47.59290260691519592);Point (19.41344796118307769 47.16650222537332127)
4_AVG_DYN;R_AT;R_IT;0;Point (14.14019348879524962 47.59290260691519592);Point (12.07174297035683175 42.79578239851078791)
4_AVG_DYN;R_AT;R_SI;0;Point (14.14019348879524962 47.59290260691519592);Point (14.82653748920358083 46.12356376353400123)
4_AVG_DYN;R_AT;R_SK;-0.06999;Point (14.14019348879524962 47.59290260691519592);Point (19.49165388227613604 48.70753128946242327)
4_AVG_DYN;R_BA;R_HR;0;Point (17.78653069680730781 44.1681152245203279);Point (16.41177821249747026 45.05116186966237279)
4_AVG_DYN;R_BE;R_DE;0;Point (4.66398918713680199 50.64285116363035399);Point (10.39366155475279996 51.10659218573432838)
4_AVG_DYN;R_BE;R_FR;0;Point (4.66398918713680199 50.64285116363035399);Point (2.55195521677779524 46.56450205398793685)
4_AVG_DYN;R_BE;R_LU;0;Point (4.66398918713680199 50.64285116363035399);Point (6.0878139690320392 49.77062957536391963)
4_AVG_DYN;R_BE;R_NL;0;Point (4.66398918713680199 50.64285116363035399);Point (5.60341802694661251 52.2492632896254392)
4_AVG_DYN;R_BE;R_UK;0;Point (4.66398918713680199 50.64285116363035399);Point (-2.89558470050635464 54.15534972029963967)
4_AVG_DYN;R_BG;R_GR;0;Point (25.23150624402950726 42.76137671439207821);Point (22.95974634066739384 39.06853720123029206)
4_AVG_DYN;R_BG;R_MK;0;Point (25.23150624402950726 42.76137671439207821);Point (21.69747626732899093 41.5996823122770536)
4_AVG_DYN;R_BG;R_RO;0;Point (25.23150624402950726 42.76137671439207821);Point (24.96925875927502858 45.84361473342863746)
4_AVG_DYN;R_BG;R_RS;0;Point (25.23150624402950726 42.76137671439207821);Point (20.80527172323537499 44.03149841861639402)
4_AVG_DYN;R_CH;R_AT;-0.2083;Point (8.234429172288662 46.80256937605332013);Point (14.14019348879524962 47.59290260691519592)
4_AVG_DYN;R_CH;R_DE;-0.24116;Point (8.234429172288662 46.80256937605332013);Point (10.39366155475279996 51.10659218573432838)
4_AVG_DYN;R_CH;R_FR;0;Point (8.234429172288662 46.80256937605332013);Point (2.55195521677779524 46.56450205398793685)
4_AVG_DYN;R_CH;R_IT;-0.06466;Point (8.234429172288662 46.80256937605332013);Point (12.07174297035683175 42.79578239851078791)
4_AVG_DYN;R_CZ;R_AT;0;Point (15.3384120900681058 49.74285888947336787);Point (14.14019348879524962 47.59290260691519592)
4_AVG_DYN;R_CZ;R_DE;0;Point (15.3384120900681058 49.74285888947336787);Point (10.39366155475279996 51.10659218573432838)
4_AVG_DYN;R_CZ;R_PL;0;Point (15.3384120900681058 49.74285888947336787);Point (19.40088385467417353 52.1246100865655464)
4_AVG_DYN;R_CZ;R_SK;-0.02321;Point (15.3384120900681058 49.74285888947336787);Point (19.49165388227613604 48.70753128946242327)
4_AVG_DYN;R_DE;R_AT;-0.057702;Point (10.39366155475279996 51.10659218573432838);Point (14.14019348879524962 47.59290260691519592)
4_AVG_DYN;R_DE;R_BE;-0.47973;Point (10.39366155475279996 51.10659218573432838);Point (4.66398918713680199 50.64285116363035399)
4_AVG_DYN;R_DE;R_CH;0;Point (10.39366155475279996 51.10659218573432838);Point (8.234429172288662 46.80256937605332013)
4_AVG_DYN;R_DE;R_CZ;-0.05438;Point (10.39366155475279996 51.10659218573432838);Point (15.3384120900681058 49.74285888947336787)
4_AVG_DYN;R_DE;R_DK;0;Point (10.39366155475279996 51.10659218573432838);Point (10.0462984146926555 55.96339824225690762)
4_AVG_DYN;R_DE;R_FR;0;Point (10.39366155475279996 51.10659218573432838);Point (2.55195521677779524 46.56450205398793685)
4_AVG_DYN;R_DE;R_LU;-1.47704E-07;Point (10.39366155475279996 51.10659218573432838);Point (6.0878139690320392 49.77062957536391963)
4_AVG_DYN;R_DE;R_NL;0;Point (10.39366155475279996 51.10659218573432838);Point (5.60341802694661251 52.2492632896254392)
4_AVG_DYN;R_DE;R_NO;0;Point (10.39366155475279996 51.10659218573432838);Point (6.098200857719917 60.76723986169972)
4_AVG_DYN;R_DE;R_PL;0;Point (10.39366155475279996 51.10659218573432838);Point (19.40088385467417353 52.1246100865655464)
4_AVG_DYN;R_DE;R_SE;0;Point (10.39366155475279996 51.10659218573432838);Point (16.73975403305356124 62.78989678415778997)
4_AVG_DYN;R_DE;R_UK;0;Point (10.39366155475279996 51.10659218573432838);Point (-2.89558470050635464 54.15534972029963967)
4_AVG_DYN;R_DK;R_DE;-0.19539;Point (10.0462984146926555 55.96339824225690762);Point (10.39366155475279996 51.10659218573432838)
4_AVG_DYN;R_DK;R_NL;-0.08524;Point (10.0462984146926555 55.96339824225690762);Point (5.60341802694661251 52.2492632896254392)
4_AVG_DYN;R_DK;R_NO;0;Point (10.0462984146926555 55.96339824225690762);Point (6.098200857719917 60.76723986169972)
4_AVG_DYN;R_DK;R_PL;-0.10693;Point (10.0462984146926555 55.96339824225690762);Point (19.40088385467417353 52.1246100865655464)
4_AVG_DYN;R_DK;R_SE;0;Point (10.0462984146926555 55.96339824225690762);Point (16.73975403305356124 62.78989678415778997)
4_AVG_DYN;R_DK;R_UK;0;Point (10.0462984146926555 55.96339824225690762);Point (-2.89558470050635464 54.15534972029963967)
4_AVG_DYN;R_EE;R_FI;0;Point (25.52761631201438064 58.67413590786344457);Point (26.26637086488721096 64.50042200031850825)
4_AVG_DYN;R_GR;R_AL;-0.146534;Point (22.95974634066739384 39.06853720123029206);Point (20.06838460591877649 41.14228482341689386)
4_AVG_DYN;R_GR;R_BG;-0.145923;Point (22.95974634066739384 39.06853720123029206);Point (25.23150624402950726 42.76137671439207821)
4_AVG_DYN;R_GR;R_IT;-0.21568;Point (22.95974634066739384 39.06853720123029206);Point (12.07174297035683175 42.79578239851078791)
4_AVG_DYN;R_GR;R_MK;-0.129969;Point (22.95974634066739384 39.06853720123029206);Point (21.69747626732899093 41.5996823122770536)
4_AVG_DYN;R_ES;R_FR;-0.03424;Point (-3.64956496042895662 40.22682992875569852);Point (2.55195521677779524 46.56450205398793685)
4_AVG_DYN;R_ES;R_PT;0;Point (-3.64956496042895662 40.22682992875569852);Point (-7.96218719075277637 39.69190982231604892)
4_AVG_DYN;R_FI;R_NO;0;Point (26.26637086488721096 64.50042200031850825);Point (6.098200857719917 60.76723986169972)
4_AVG_DYN;R_FI;R_SE;0;Point (26.26637086488721096 64.50042200031850825);Point (16.73975403305356124 62.78989678415778997)
4_AVG_DYN;R_FR;R_BE;0;Point (2.55195521677779524 46.56450205398793685);Point (4.66398918713680199 50.64285116363035399)
4_AVG_DYN;R_FR;R_CH;0;Point (2.55195521677779524 46.56450205398793685);Point (8.234429172288662 46.80256937605332013)
4_AVG_DYN;R_FR;R_DE;-0.1815;Point (2.55195521677779524 46.56450205398793685);Point (10.39366155475279996 51.10659218573432838)
4_AVG_DYN;R_FR;R_ES;0;Point (2.55195521677779524 46.56450205398793685);Point (-3.64956496042895662 40.22682992875569852)
4_AVG_DYN;R_FR;R_IE;0;Point (2.55195521677779524 46.56450205398793685);Point (-8.15057896021401795 53.17638162826426651)
4_AVG_DYN;R_FR;R_IT;-0.03923;Point (2.55195521677779524 46.56450205398793685);Point (12.07174297035683175 42.79578239851078791)
4_AVG_DYN;R_FR;R_LU;-0.18176;Point (2.55195521677779524 46.56450205398793685);Point (6.0878139690320392 49.77062957536391963)
4_AVG_DYN;R_FR;R_UK;0;Point (2.55195521677779524 46.56450205398793685);Point (-2.89558470050635464 54.15534972029963967)
4_AVG_DYN;R_HR;R_BA;0;Point (16.41177821249747026 45.05116186966237279);Point (17.78653069680730781 44.1681152245203279)
4_AVG_DYN;R_HR;R_HU;0;Point (16.41177821249747026 45.05116186966237279);Point (19.41344796118307769 47.16650222537332127)
4_AVG_DYN;R_HR;R_RS;0;Point (16.41177821249747026 45.05116186966237279);Point (20.80527172323537499 44.03149841861639402)
4_AVG_DYN;R_HR;R_SI;-2.36592E-10;Point (16.41177821249747026 45.05116186966237279);Point (14.82653748920358083 46.12356376353400123)
4_AVG_DYN;R_HU;R_AT;-0.08825;Point (19.41344796118307769 47.16650222537332127);Point (14.14019348879524962 47.59290260691519592)
4_AVG_DYN;R_HU;R_HR;-0.0279259;Point (19.41344796118307769 47.16650222537332127);Point (16.41177821249747026 45.05116186966237279)
4_AVG_DYN;R_HU;R_RO;0;Point (19.41344796118307769 47.16650222537332127);Point (24.96925875927502858 45.84361473342863746)
4_AVG_DYN;R_HU;R_RS;-0.036436;Point (19.41344796118307769 47.16650222537332127);Point (20.80527172323537499 44.03149841861639402)
4_AVG_DYN;R_HU;R_SI;-0.0209405;Point (19.41344796118307769 47.16650222537332127);Point (14.82653748920358083 46.12356376353400123)
