scenario,simyear,value
exp_baseline,2030,80.44
exp_baseline,2030,72.30
exp_baseline,2030,73.91
exp_baseline,2030,-49.00
exp_baseline,2030,84.59
exp_baseline,2030,-50.00
exp_baseline,2030,74.98
exp_baseline,2030,72.91
exp_baseline,2030,72.91
exp_baseline,2030,81.59
exp_baseline,2030,57.90
exp_baseline,2030,55.90
exp_baseline,2030,-49.00
exp_baseline,2030,80.45
exp_baseline,2030,85.29
exp_baseline,2030,84.27
exp_baseline,2030,85.57
exp_baseline,2030,82.29
exp_baseline,2030,85.27
exp_baseline,2030,86.29
exp_baseline,2030,86.57
exp_baseline,2030,85.57
exp_baseline,2030,84.57
exp_baseline,2030,87.57
exp_baseline,2030,80.45
exp_baseline,2030,83.27
exp_baseline,2030,86.57
exp_baseline,2030,84.27
exp_baseline,2030,85.27
exp_baseline,2030,84.29
exp_baseline,2030,85.27
exp_baseline,2030,84.27
exp_baseline,2030,85.57
exp_baseline,2030,86.57
exp_baseline,2030,86.57
exp_baseline,2030,83.27
exp_baseline,2030,81.45
exp_baseline,2030,86.57
exp_baseline,2030,84.65
exp_baseline,2030,86.29
exp_baseline,2030,82.27
exp_baseline,2030,83.29
exp_baseline,2030,84.29
exp_baseline,2030,85.57
exp_baseline,2030,84.29
exp_baseline,2030,85.29
exp_baseline,2030,84.57
exp_baseline,2030,79.27
exp_baseline,2030,81.23
exp_baseline,2030,81.32
exp_baseline,2030,80.41
exp_baseline,2030,81.34
exp_baseline,2030,81.32
exp_baseline,2030,82.23
exp_baseline,2030,81.32
exp_baseline,2030,80.41
exp_baseline,2030,79.41
exp_baseline,2030,85.77
exp_baseline,2030,79.34
exp_baseline,2030,79.32
exp_baseline,2030,85.77
exp_baseline,2030,80.32
exp_baseline,2030,83.14
exp_baseline,2030,82.23
exp_baseline,2030,79.37
exp_baseline,2030,81.32
exp_baseline,2030,83.77
exp_baseline,2030,80.32
exp_baseline,2030,84.77
exp_baseline,2030,80.32
exp_baseline,2030,80.34
exp_baseline,2030,80.32
exp_baseline,2030,84.65
exp_baseline,2030,82.32
exp_baseline,2030,77.11
exp_baseline,2030,82.09
exp_baseline,2030,82.32
exp_baseline,2030,84.77
exp_baseline,2030,82.23
exp_baseline,2030,81.32
exp_baseline,2030,79.41
exp_baseline,2030,82.32
exp_baseline,2030,83.19
exp_baseline,2030,85.19
exp_baseline,2030,84.19
exp_baseline,2030,84.92
exp_baseline,2030,84.19
exp_baseline,2030,86.19
exp_baseline,2030,85.19
exp_baseline,2030,84.19
exp_baseline,2030,83.19
exp_baseline,2030,20.64
exp_baseline,2030,82.92
exp_baseline,2030,48.13
exp_baseline,2030,19.64
exp_baseline,2030,83.19
exp_baseline,2030,85.19
exp_baseline,2030,84.19
exp_baseline,2030,84.19
exp_baseline,2030,83.19
exp_baseline,2030,20.67
exp_baseline,2030,85.19
exp_baseline,2030,21.64
exp_baseline,2030,84.19
exp_baseline,2030,83.92
exp_baseline,2030,85.19
exp_baseline,2030,84.65
exp_baseline,2030,85.19
exp_baseline,2030,47.13
exp_baseline,2030,85.19
exp_baseline,2030,86.19
exp_baseline,2030,83.65
exp_baseline,2030,84.19
exp_baseline,2030,85.19
exp_baseline,2030,84.19
exp_baseline,2030,85.30
exp_baseline,2030,86.57
exp_baseline,2030,87.57
exp_baseline,2030,89.56
exp_baseline,2030,87.30
exp_baseline,2030,86.38
exp_baseline,2030,92.56
exp_baseline,2030,91.56
exp_baseline,2030,86.52
exp_baseline,2030,85.52
exp_baseline,2030,21.13
exp_baseline,2030,86.30
exp_baseline,2030,49.42
exp_baseline,2030,20.13
exp_baseline,2030,85.38
exp_baseline,2030,86.64
exp_baseline,2030,88.57
exp_baseline,2030,86.38
exp_baseline,2030,85.57
exp_baseline,2030,23.13
exp_baseline,2030,90.56
exp_baseline,2030,22.13
exp_baseline,2030,86.57
exp_baseline,2030,87.30
exp_baseline,2030,90.56
exp_baseline,2030,84.65
exp_baseline,2030,92.56
exp_baseline,2030,48.42
exp_baseline,2030,87.57
exp_baseline,2030,88.57
exp_baseline,2030,85.52
exp_baseline,2030,87.57
exp_baseline,2030,91.56
exp_baseline,2030,86.38
exp_baseline,2030,73.30
exp_baseline,2030,-50.00
exp_baseline,2030,59.90
exp_baseline,2030,-48.00
exp_baseline,2030,73.91
exp_baseline,2030,6.16
exp_baseline,2030,-49.00
exp_baseline,2030,-50.00
exp_baseline,2030,-49.00
exp_baseline,2030,-50.00
exp_baseline,2030,81.54
exp_baseline,2030,74.30
exp_baseline,2030,74.52
exp_baseline,2030,82.54
exp_baseline,2030,5.16
exp_baseline,2030,58.90
exp_baseline,2030,56.90
exp_baseline,2030,-48.00
exp_baseline,2030,73.30
exp_baseline,2030,77.56
exp_baseline,2030,-49.00
exp_baseline,2030,80.54
exp_baseline,2030,72.30
exp_baseline,2030,73.91
exp_baseline,2030,-49.00
exp_baseline,2030,84.59
exp_baseline,2030,-50.00
exp_baseline,2030,74.98
exp_baseline,2030,72.91
exp_baseline,2030,72.91
exp_baseline,2030,81.54
exp_baseline,2030,57.90
exp_baseline,2030,55.90
exp_baseline,2030,-49.00
exp_baseline,2030,79.16
exp_baseline,2030,-40.14
exp_baseline,2030,78.34
exp_baseline,2030,-37.31
exp_baseline,2030,79.75
exp_baseline,2030,10.53
exp_baseline,2030,-25.38
exp_baseline,2030,-39.31
exp_baseline,2030,-38.31
exp_baseline,2030,-39.31
exp_baseline,2030,81.54
exp_baseline,2030,78.28
exp_baseline,2030,80.44
exp_baseline,2030,82.59
