scenario,simyear,value
full_avail_ref_BAT_sens_100,2030,70.9269
full_avail_ref_BAT_sens_100,2030,71.9783
full_avail_ref_BAT_sens_100,2030,72.9269
full_avail_ref_BAT_sens_100,2030,70.83
full_avail_ref_BAT_sens_100,2030,72.83
full_avail_ref_BAT_sens_100,2030,70.9783
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,43.8507
full_avail_ref_BAT_sens_100,2030,71.83
full_avail_ref_BAT_sens_100,2030,67.2619
full_avail_ref_BAT_sens_100,2030,42.8507
full_avail_ref_BAT_sens_100,2030,69.83
full_avail_ref_BAT_sens_100,2030,72.6213
full_avail_ref_BAT_sens_100,2030,72.9783
full_avail_ref_BAT_sens_100,2030,70.83
full_avail_ref_BAT_sens_100,2030,70.83
full_avail_ref_BAT_sens_100,2030,45.8507
full_avail_ref_BAT_sens_100,2030,72.5932
full_avail_ref_BAT_sens_100,2030,44.8507
full_avail_ref_BAT_sens_100,2030,71.9269
full_avail_ref_BAT_sens_100,2030,72.83
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,66.2619
full_avail_ref_BAT_sens_100,2030,73.83
full_avail_ref_BAT_sens_100,2030,73.9269
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,71.9783
full_avail_ref_BAT_sens_100,2030,72.6212
full_avail_ref_BAT_sens_100,2030,69.83
full_avail_ref_BAT_sens_100,2030,65.1671
full_avail_ref_BAT_sens_100,2030,7.92512
full_avail_ref_BAT_sens_100,2030,64.5132
full_avail_ref_BAT_sens_100,2030,3.619
full_avail_ref_BAT_sens_100,2030,65.1671
full_avail_ref_BAT_sens_100,2030,7.13222
full_avail_ref_BAT_sens_100,2030,18.8668
full_avail_ref_BAT_sens_100,2030,0.517133
full_avail_ref_BAT_sens_100,2030,1.51713
full_avail_ref_BAT_sens_100,2030,0.517133
full_avail_ref_BAT_sens_100,2030,61.9709
full_avail_ref_BAT_sens_100,2030,64.1671
full_avail_ref_BAT_sens_100,2030,67.1772
full_avail_ref_BAT_sens_100,2030,61.4583
full_avail_ref_BAT_sens_100,2030,5.51899
full_avail_ref_BAT_sens_100,2030,63.5132
full_avail_ref_BAT_sens_100,2030,62.9054
full_avail_ref_BAT_sens_100,2030,4.51899
full_avail_ref_BAT_sens_100,2030,8.92512
full_avail_ref_BAT_sens_100,2030,59.9709
full_avail_ref_BAT_sens_100,2030,1.51713
full_avail_ref_BAT_sens_100,2030,60.9709
full_avail_ref_BAT_sens_100,2030,64.1671
full_avail_ref_BAT_sens_100,2030,65.1671
full_avail_ref_BAT_sens_100,2030,2.619
full_avail_ref_BAT_sens_100,2030,63.4583
full_avail_ref_BAT_sens_100,2030,58.4486
full_avail_ref_BAT_sens_100,2030,66.1772
full_avail_ref_BAT_sens_100,2030,64.5132
full_avail_ref_BAT_sens_100,2030,65.5132
full_avail_ref_BAT_sens_100,2030,62.4583
full_avail_ref_BAT_sens_100,2030,62.5132
full_avail_ref_BAT_sens_100,2030,61.9054
full_avail_ref_BAT_sens_100,2030,3.619
full_avail_ref_BAT_sens_100,2030,70.9269
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,73.274
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,71.6213
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,73.6932
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,72.898
full_avail_ref_BAT_sens_100,2030,70.3822
full_avail_ref_BAT_sens_100,2030,69.9439
full_avail_ref_BAT_sens_100,2030,71.898
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,72.6213
full_avail_ref_BAT_sens_100,2030,73.6213
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,71.3822
full_avail_ref_BAT_sens_100,2030,70.898
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,71.898
full_avail_ref_BAT_sens_100,2030,72.274
full_avail_ref_BAT_sens_100,2030,71.3822
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,73.6932
full_avail_ref_BAT_sens_100,2030,68.9439
full_avail_ref_BAT_sens_100,2030,72.6213
full_avail_ref_BAT_sens_100,2030,73.6213
full_avail_ref_BAT_sens_100,2030,70.898
full_avail_ref_BAT_sens_100,2030,72.6213
full_avail_ref_BAT_sens_100,2030,73.3822
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,70.9269
full_avail_ref_BAT_sens_100,2030,71.9783
full_avail_ref_BAT_sens_100,2030,73.274
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,71.274
full_avail_ref_BAT_sens_100,2030,70.9783
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,43.8507
full_avail_ref_BAT_sens_100,2030,70.274
full_avail_ref_BAT_sens_100,2030,67.2619
full_avail_ref_BAT_sens_100,2030,42.8507
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,72.6213
full_avail_ref_BAT_sens_100,2030,71.6213
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,45.8507
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,44.8507
full_avail_ref_BAT_sens_100,2030,72.274
full_avail_ref_BAT_sens_100,2030,71.3822
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,66.1772
full_avail_ref_BAT_sens_100,2030,72.274
full_avail_ref_BAT_sens_100,2030,73.274
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,72.6213
full_avail_ref_BAT_sens_100,2030,72.6213
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,70.9269
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,72.2661
full_avail_ref_BAT_sens_100,2030,70.83
full_avail_ref_BAT_sens_100,2030,71.2661
full_avail_ref_BAT_sens_100,2030,70.9783
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,43.8507
full_avail_ref_BAT_sens_100,2030,70.2661
full_avail_ref_BAT_sens_100,2030,67.2619
full_avail_ref_BAT_sens_100,2030,42.8507
full_avail_ref_BAT_sens_100,2030,69.83
full_avail_ref_BAT_sens_100,2030,71.2661
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,70.83
full_avail_ref_BAT_sens_100,2030,70.83
full_avail_ref_BAT_sens_100,2030,43.8507
full_avail_ref_BAT_sens_100,2030,72.6932
full_avail_ref_BAT_sens_100,2030,44.8507
full_avail_ref_BAT_sens_100,2030,71.83
full_avail_ref_BAT_sens_100,2030,71.2661
full_avail_ref_BAT_sens_100,2030,71.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,66.1772
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,72.2661
full_avail_ref_BAT_sens_100,2030,69.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,70.6932
full_avail_ref_BAT_sens_100,2030,69.83
full_avail_ref_BAT_sens_100,2030,46.8379
full_avail_ref_BAT_sens_100,2030,-0.354137
full_avail_ref_BAT_sens_100,2030,46.8379
full_avail_ref_BAT_sens_100,2030,3.619
full_avail_ref_BAT_sens_100,2030,47.7548
full_avail_ref_BAT_sens_100,2030,6.419
full_avail_ref_BAT_sens_100,2030,0.645862
full_avail_ref_BAT_sens_100,2030,-1.35414
full_avail_ref_BAT_sens_100,2030,1.51713
full_avail_ref_BAT_sens_100,2030,0.517132
full_avail_ref_BAT_sens_100,2030,67.6213
full_avail_ref_BAT_sens_100,2030,46.6419
full_avail_ref_BAT_sens_100,2030,67.1639
full_avail_ref_BAT_sens_100,2030,68.6213
full_avail_ref_BAT_sens_100,2030,5.419
full_avail_ref_BAT_sens_100,2030,45.8379
full_avail_ref_BAT_sens_100,2030,45.0195
full_avail_ref_BAT_sens_100,2030,4.51899
full_avail_ref_BAT_sens_100,2030,7.419
full_avail_ref_BAT_sens_100,2030,65.6213
full_avail_ref_BAT_sens_100,2030,-0.354137
full_avail_ref_BAT_sens_100,2030,66.6213
full_avail_ref_BAT_sens_100,2030,45.8379
full_avail_ref_BAT_sens_100,2030,47.6419
full_avail_ref_BAT_sens_100,2030,2.619
full_avail_ref_BAT_sens_100,2030,70.6213
full_avail_ref_BAT_sens_100,2030,47.0195
full_avail_ref_BAT_sens_100,2030,66.1772
full_avail_ref_BAT_sens_100,2030,47.5822
full_avail_ref_BAT_sens_100,2030,47.8379
full_avail_ref_BAT_sens_100,2030,69.6213
full_avail_ref_BAT_sens_100,2030,44.8379
full_avail_ref_BAT_sens_100,2030,46.0195
full_avail_ref_BAT_sens_100,2030,3.619
full_avail_ref_BAT_sens_100,2030,44.7548
full_avail_ref_BAT_sens_100,2030,-48.3598
full_avail_ref_BAT_sens_100,2030,44.7548
full_avail_ref_BAT_sens_100,2030,1.8645
full_avail_ref_BAT_sens_100,2030,47.7548
full_avail_ref_BAT_sens_100,2030,5.15796
full_avail_ref_BAT_sens_100,2030,-47.3598
full_avail_ref_BAT_sens_100,2030,-47.3598
full_avail_ref_BAT_sens_100,2030,1.51713
full_avail_ref_BAT_sens_100,2030,0.517132
full_avail_ref_BAT_sens_100,2030,68.6343
full_avail_ref_BAT_sens_100,2030,46.6419
full_avail_ref_BAT_sens_100,2030,6.1558
full_avail_ref_BAT_sens_100,2030,69.6343
full_avail_ref_BAT_sens_100,2030,5.1558
full_avail_ref_BAT_sens_100,2030,6.15796
full_avail_ref_BAT_sens_100,2030,-47.3598
full_avail_ref_BAT_sens_100,2030,2.87005
full_avail_ref_BAT_sens_100,2030,6.15796
full_avail_ref_BAT_sens_100,2030,66.6343
full_avail_ref_BAT_sens_100,2030,-46.3598
full_avail_ref_BAT_sens_100,2030,67.6343
full_avail_ref_BAT_sens_100,2030,43.7548
full_avail_ref_BAT_sens_100,2030,46.7548
full_avail_ref_BAT_sens_100,2030,0.864496
full_avail_ref_BAT_sens_100,2030,70.6213
full_avail_ref_BAT_sens_100,2030,-46.3598
full_avail_ref_BAT_sens_100,2030,49.1066
full_avail_ref_BAT_sens_100,2030,46.7548
full_avail_ref_BAT_sens_100,2030,45.7548
full_avail_ref_BAT_sens_100,2030,69.6213
full_avail_ref_BAT_sens_100,2030,5.15796
